word1        ,word2         ,human(mean),Cos    ,Jac    ,DKL
love         ,sex           ,6.77       ,0.01731,0.00472,0.0066
tiger        ,cat           ,7.35       ,0.1283 ,0.02326,-0.00024
tiger        ,tiger         ,10.0       ,1.0    ,1.0    ,0.0
book         ,paper         ,7.46       ,0.0924 ,0.00173,0.00803
computer     ,keyboard      ,7.62       ,0.06623,0.00158,0.01845
computer     ,internet      ,7.58       ,0.12636,0.00265,0.01693
plane        ,car           ,5.77       ,0.07797,0.00597,0.00137
train        ,car           ,6.31       ,0.10198,0.00156,0.0082
telephone    ,communication ,7.5        ,0.0    ,0.00806,0.00211
television   ,radio         ,6.77       ,0.0    ,0.03572,0.00029
bread        ,butter        ,6.19       ,0.03274,0.03572,0.00066
cucumber     ,potato        ,5.92       ,0.0    ,0.05   ,0.00029
doctor       ,nurse         ,7.0        ,0.17273,0.0303 ,0.00304
professor    ,doctor        ,6.62       ,0.00894,0.00617,0.00592
student      ,professor     ,6.81       ,0.06724,0.0045 ,0.00459
smart        ,student       ,4.62       ,0.04668,0.00286,0.0081
smart        ,stupid        ,5.81       ,0.0497 ,0.00405,0.00886
company      ,stock         ,7.08       ,0.0677 ,0.00166,0.01869
stock        ,market        ,8.08       ,0.12655,0.00563,0.00216
stock        ,phone         ,1.62       ,0.00949,0.0035 ,0.00318
stock        ,egg           ,1.81       ,0.01312,0.00877,0.00406
stock        ,live          ,3.73       ,0.02056,0.00476,0.00354
stock        ,life          ,0.92       ,0.04835,0.00245,0.00217
book         ,library       ,7.46       ,0.0672 ,0.00233,0.00936
bank         ,money         ,8.12       ,0.03105,0.00469,0.00513
wood         ,forest        ,7.73       ,0.0    ,0.01667,0.00081
money        ,cash          ,9.15       ,0.0504 ,0.00725,0.00448
professor    ,cucumber      ,0.31       ,0.02623,0.00971,0.00621
king         ,cabbage       ,0.23       ,0.0    ,0.04348,0.00115
king         ,queen         ,8.58       ,0.14348,0.03572,0.00103
holy         ,sex           ,1.62       ,0.0    ,0.01667,0.0002
fuck         ,sex           ,9.44       ,0.0    ,0.01852,0.00871
football     ,basketball    ,6.81       ,0.0    ,0.02381,0.00208
football     ,tennis        ,6.63       ,0.0    ,0.02381,0.00208
law          ,lawyer        ,8.38       ,0.07578,0.01031,0.00386
movie        ,star          ,7.38       ,0.05461,0.00683,0.00591
movie        ,critic        ,6.73       ,0.03188,0.00568,0.00673
space        ,chemistry     ,4.88       ,0.0345 ,0.00287,0.0129
alcohol      ,chemistry     ,5.54       ,0.0    ,0.07692,0.00014
drink        ,car           ,3.04       ,0.03229,0.00333,0.00063
drink        ,ear           ,1.31       ,0.01109,0.02   ,0.00067
drink        ,mouth         ,5.96       ,0.0    ,0.02381,0.00075
drink        ,eat           ,6.87       ,0.1186 ,0.03572,0.00047
baby         ,mother        ,7.85       ,0.00905,0.01493,0.0033
drink        ,mother        ,2.65       ,0.02924,0.03572,0.00079
car          ,automobile    ,8.94       ,0.01067,0.00345,0.01139
gem          ,jewel         ,8.96       ,0.0    ,0.03846,0.00109
journey      ,voyage        ,9.29       ,0.05559,0.01493,0.00209
coast        ,shore         ,9.1        ,0.0    ,0.05882,0.00111
food         ,fruit         ,7.52       ,0.00725,0.00794,0.00517
bird         ,crane         ,7.38       ,0.0    ,0.01724,0.00209
tool         ,implement     ,6.46       ,0.08559,0.00196,0.01207
crane        ,implement     ,2.69       ,0.02292,0.00704,0.00025
journey      ,car           ,5.85       ,0.04833,0.00301,0.00062
coast        ,hill          ,4.38       ,0.0    ,0.03572,0.00105
coast        ,forest        ,3.15       ,0.0    ,0.03333,0.0009
chord        ,smile         ,0.54       ,0.0    ,0.03846,0.00013
glass        ,magician      ,2.08       ,0.0    ,0.01724,0.00302
noon         ,string        ,0.54       ,0.0    ,0.01639,0.00015
money        ,dollar        ,8.42       ,0.12537,0.01242,0.004
money        ,cash          ,9.08       ,0.0504 ,0.00725,0.00448
money        ,currency      ,9.04       ,0.05163,0.00826,0.00456
money        ,wealth        ,8.27       ,0.06619,0.00662,0.00429
money        ,property      ,7.57       ,0.05412,0.00437,0.00387
money        ,bank          ,8.5        ,0.03105,0.00469,0.00401
money        ,deposit       ,7.73       ,0.0    ,0.0087 ,0.00471
money        ,operation     ,3.31       ,0.08025,0.00309,0.00329
tiger        ,mammal        ,6.85       ,0.0    ,0.1111 ,0.0003
tiger        ,animal        ,7.0        ,0.0    ,0.01087,0.0952
tiger        ,organism      ,4.77       ,0.0    ,0.14286,0.00027
tiger        ,zoo           ,5.87       ,0.0    ,0.07692,0.00029
psychology   ,anxiety       ,7.0        ,0.0    ,0.01786,0.00256
psychology   ,fear          ,6.85       ,0.01112,0.00741,0.00207
psychology   ,depression    ,7.42       ,0.0    ,0.01695,0.00255
psychology   ,clinic        ,6.58       ,0.0    ,0.01852,0.00257
psychology   ,doctor        ,6.42       ,0.0    ,0.00877,0.00228
psychology   ,mind          ,7.69       ,0.0415 ,0.00317,0.00109
psychology   ,health        ,7.23       ,0.01859,0.01163,0.00238
psychology   ,science       ,6.71       ,0.08285,0.00499,0.00032
psychology   ,discipline    ,5.58       ,0.04086,0.00847,0.00214
psychology   ,cognition     ,7.48       ,0.03265,0.0101 ,0.00228
planet       ,star          ,8.45       ,0.04541,0.0102 ,0.00201
planet       ,moon          ,8.08       ,0.0695 ,0.025  ,0.00248
planet       ,sun           ,8.02       ,0.0788 ,0.0125 ,0.00251
planet       ,galaxy        ,8.11       ,0.04506,0.03704,0.00279
planet       ,space         ,7.92       ,0.06544,0.00259,0.00079
precedent    ,example       ,5.85       ,0.01766,0.00146,0.00319
precedent    ,information   ,3.85       ,0.0373 ,0.00195,0.0022
precedent    ,cognition     ,2.81       ,0.04867,0.01852,0.00013
precedent    ,law           ,6.65       ,0.0    ,0.0119 ,0.00029
precedent    ,collection    ,2.5        ,0.0    ,0.00833,0.00013
precedent    ,group         ,1.77       ,0.04072,0.0041 ,0.00083
cup          ,coffee        ,6.58       ,0.021  ,0.01961,0.00092
cup          ,article       ,2.4        ,0.018  ,0.00484,0.00083
cup          ,artifact      ,2.92       ,0.0    ,0.08   ,0.00111
cup          ,object        ,3.69       ,0.01209,0.00316,0.00022
cup          ,entity        ,2.15       ,0.02798,0.00741,0.00053
cup          ,drink         ,7.25       ,0.01941,0.02941,0.00104
cup          ,food          ,5.0        ,0.00585,0.00769,0.00058
cup          ,substance     ,1.92       ,0.0    ,0.0303 ,0.00107
cup          ,liquid        ,5.9        ,0.09937,0.02326,0.0009
energy       ,secretary     ,1.81       ,0.0    ,0.0101 ,0.00486
energy       ,laboratory    ,5.09       ,0.05514,0.00935,0.00476
computer     ,laboratory    ,6.78       ,0.03557,0.00169,0.01892
weapon       ,secret        ,6.06       ,0.0    ,0.02564,0.0006
investigation,effort        ,4.59       ,0.0221 ,0.00585,0.00025
news         ,report        ,8.16       ,0.04435,0.00313,0.00704
image        ,surface       ,4.56       ,0.06031,0.00475,0.02353
discovery    ,space         ,6.34       ,0.03473,0.00253,0.0008
mile         ,kilometer     ,8.66       ,0.24702,0.03333,0.00112
computer     ,news          ,4.47       ,0.09941,0.00256,0.01696
territory    ,surface       ,5.34       ,0.0    ,0.01316,0.3981
record       ,number        ,6.31       ,0.07511,0.00287,0.00076
skin         ,eye           ,6.22       ,0.02643,0.01163,0.00016
volunteer    ,motto         ,2.56       ,0.08507,0.07692,0.00047
prejudice    ,recognition   ,3.0        ,0.04351,0.00431,0.00822
century      ,year          ,7.59       ,0.10106,0.00164,0.0013
century      ,nation        ,3.16       ,0.0    ,0.00719,0.00484
delay        ,news          ,3.31       ,0.00737,0.00465,0.0001
peace        ,plan          ,4.75       ,0.0    ,0.00926,-0.00033
minority     ,peace         ,3.69       ,0.0    ,0.06667,0.00078
attempt      ,peace         ,4.25       ,0.0    ,0.00662,0.00573
government   ,crisis        ,6.56       ,0.01015,0.00855,0.00546
deployment   ,departure     ,4.25       ,0.03893,0.025  ,0.00122
energy       ,crisis        ,5.94       ,0.01474,0.00971,0.00484
announcement ,news          ,7.56       ,0.03243,0.00465,0.00028
announcement ,effort        ,2.75       ,0.03152,0.00562,0.2381
stroke       ,hospital      ,7.03       ,0.0    ,0.01695,0.0009
disability   ,death         ,5.47       ,0.04463,0.02632,0.00013
victim       ,emergency     ,6.47       ,0.0    ,0.05882,0.00058
treatment    ,recovery      ,7.91       ,0.0    ,0.03448,0.00142
journal      ,association   ,4.97       ,0.01551,0.01695,0.0021
doctor       ,personnel     ,5.0        ,0.0    ,0.01493,0.00319
doctor       ,liability     ,5.19       ,0.0    ,0.01449,0.00318
liability    ,insurance     ,7.03       ,0.0    ,0.02778,0.00029
school       ,center        ,3.44       ,0.09328,0.00439,0.00413
reason       ,criterion     ,5.91       ,0.06715,0.00379,0.008
hundred      ,percent       ,7.38       ,0.03768,0.00513,0.00504
hospital     ,infrastructure,4.63       ,0.04643,0.00633,0.0018
death        ,row           ,5.25       ,0.05598,0.0051 ,0.00075
lawyer       ,evidence      ,6.69       ,0.0    ,0.01042,0.00075
life         ,death         ,7.88       ,0.0288 ,0.00581,0.01279
life         ,term          ,4.5        ,0.07537,0.00279,0.01001
word         ,similarity    ,4.75       ,0.09475,0.00309,0.01769
board        ,recommendation,4.47       ,0.07647,0.00602,0.00365
peace        ,insurance     ,2.94       ,0.0    ,0.03226,0.0
territory    ,kilometer     ,5.28       ,0.0    ,0.09091,0.00021
travel       ,activity      ,5.0        ,0.05384,0.00412,0.00469
competition  ,price         ,6.44       ,0.03907,0.00308,0.00377
consumer     ,confidence    ,4.13       ,0.03915,0.00532,0.00508
consumer     ,energy        ,4.75       ,0.04749,0.00444,0.00474
problem      ,airport       ,2.38       ,0.004  ,0.0016 ,0.02078
car          ,flight        ,4.94       ,0.0    ,0.00347,0.01142
credit       ,card          ,8.06       ,0.16044,0.01   ,0.00232
credit       ,information   ,5.31       ,0.04842,0.00174,0.00062
hotel        ,reservation   ,8.03       ,0.03018,0.0101 ,0.00264
grocery      ,money         ,5.94       ,0.0    ,0.0087 ,7e-05
registration ,arrangement   ,6.0        ,0.0    ,0.03125,0.00017
arrangement  ,accommodation ,5.41       ,0.01865,0.01887,0.00136
month        ,hotel         ,1.81       ,0.02344,0.00778,0.00741
type         ,kind          ,8.97       ,0.13503,0.00145,0.00823
arrival      ,hotel         ,6.0        ,0.0    ,0.01471,0.00072
bed          ,closet        ,6.72       ,0.01704,0.02222,0.00192
closet       ,clothes       ,8.0        ,0.09034,0.03125,0.00078
situation    ,conclusion    ,4.81       ,0.03196,0.0045 ,0.00608
situation    ,isolation     ,3.88       ,0.05385,0.00521,0.00621
direction    ,combination   ,2.25       ,0.08061,0.003  ,0.00456
street       ,place         ,6.44       ,0.04844,0.00271,0.00146
street       ,avenue        ,8.88       ,0.01498,0.01429,0.00312
street       ,block         ,6.88       ,0.04265,0.00508,0.00241
listing      ,proximity     ,2.56       ,0.0    ,0.04762,0.00187
listing      ,category      ,6.38       ,0.02392,0.00508,0.00112
cell         ,phone         ,7.81       ,0.13995,0.00557,0.00501
production   ,hike          ,1.75       ,0.02165,0.0084 ,0.00556
benchmark    ,index         ,4.25       ,0.02984,0.00535,0.0011
dividend     ,payment       ,7.63       ,0.0    ,0.01429,0.00019
dividend     ,calculation   ,6.48       ,0.0    ,0.01031,0.00027
calculation  ,computation   ,8.44       ,0.1138 ,0.0066 ,0.00232
currency     ,market        ,7.5        ,0.02416,0.00366,0.00015
oil          ,stock         ,6.34       ,0.02688,0.00847,0.00096
announcement ,production    ,3.38       ,0.0129 ,0.00775,0.00015
announcement ,warning       ,6.0        ,0.02832,0.02174,0.00057
profit       ,warning       ,3.88       ,0.01032,0.0125 ,0.00216
profit       ,loss          ,7.63       ,0.05451,0.00318,0.00093
dollar       ,buck          ,9.22       ,0.04569,0.01471,0.003
dollar       ,profit        ,7.38       ,0.00976,0.00971,0.00289
dollar       ,loss          ,6.09       ,0.02125,0.00313,0.0019
computer     ,software      ,8.5        ,0.17553,0.00209,0.01435
network      ,hardware      ,8.31       ,0.09542,0.00185,0.02591
phone        ,equipment     ,7.13       ,0.02325,0.00461,0.00799
equipment    ,maker         ,5.91       ,0.0    ,0.01587,0.00143
luxury       ,car           ,6.47       ,0.08612,0.00658,-0.00059
five         ,month         ,3.38       ,0.1026 ,0.00311,0.00331
report       ,gain          ,3.63       ,0.04963,0.00441,0.00491
investor     ,earning       ,7.13       ,0.04476,0.01471,0.0029
liquid       ,water         ,7.89       ,0.12195,0.03125,0.00088
baseball     ,season        ,5.97       ,0.0    ,0.04   ,0.00022
game         ,victory       ,7.03       ,0.0552 ,0.00427,0.01416
game         ,team          ,7.69       ,0.07382,0.00132,0.01187
game         ,series        ,6.19       ,0.13723,0.00289,0.01189
game         ,defeat        ,6.97       ,0.05135,0.00219,0.01431
seven        ,series        ,3.56       ,0.07291,0.00741,0.00022
seafood      ,sea           ,7.47       ,0.0    ,0.05556,0.00019
seafood      ,food          ,8.34       ,0.06429,0.0087 ,0.00036
food         ,preparation   ,6.22       ,0.02841,0.01408,0.00502
video        ,archive       ,6.34       ,0.00937,0.00247,0.01304
start        ,year          ,4.06       ,0.11205,0.00111,0.00881
start        ,match         ,4.47       ,0.0683 ,0.00173,0.01187
game         ,round         ,5.97       ,0.04102,0.00198,0.01392
boxing       ,round         ,7.61       ,0.02075,0.01493,0.00028
fighting     ,defeating     ,7.41       ,0.0    ,0.05263,0.0004
line         ,insurance     ,2.69       ,0.03271,0.00266,0.01109
day          ,summer        ,3.94       ,0.07555,0.00253,0.01374
summer       ,nature        ,5.63       ,0.01746,0.005  ,0.00047
day          ,dawn          ,7.53       ,0.075  ,0.0051 ,0.01374
nature       ,environment   ,8.31       ,0.06662,0.00458,0.00647
environment  ,ecology       ,8.81       ,0.00577,0.0037 ,0.00909
nature       ,man           ,6.25       ,0.04521,0.00286,0.00692
man          ,woman         ,8.3        ,0.09211,0.00667,0.00693
life         ,lesson        ,5.94       ,0.03632,0.00295,0.01281
focus        ,life          ,4.06       ,0.09305,0.00164,0.0073
television   ,film          ,7.72       ,0.0    ,0.01587,0.00011
possibility  ,girl          ,1.94       ,0.00818,0.00763,0.00472
population   ,development   ,3.75       ,0.02882,0.00299,0.00272
morality     ,importance    ,3.31       ,0.02306,0.0101 ,0.00039
morality     ,marriage      ,3.69       ,0.06647,0.0303 ,0.00066
change       ,attitude      ,5.44       ,0.0    ,0.00225,0.01439
family       ,planning      ,6.25       ,0.00507,0.00758,0.00419
practice     ,institution   ,3.19       ,0.03543,0.00498,0.00607
problem      ,challenge     ,6.75       ,0.17006,0.00231,0.01752
country      ,citizen       ,7.31       ,0.01775,0.00943,0.00433
planet       ,people        ,5.75       ,0.04312,0.00139,0.0017
development  ,issue         ,3.97       ,0.08025,0.00196,0.00757
experience   ,music         ,3.47       ,0.1147 ,0.00166,0.01208
music        ,project       ,3.63       ,0.09854,0.00161,0.00599
glass        ,metal         ,5.56       ,0.0    ,0.0125 ,0.00291
chance       ,credibility   ,3.88       ,0.02841,0.00893,0.00458
observation  ,architecture  ,4.38       ,0.05416,0.00201,0.00304
space        ,world         ,6.53       ,0.12968,0.0022 ,0.00775
admission    ,ticket        ,7.69       ,0.0    ,0.05263,0.01225
weather      ,forecast      ,8.34       ,0.187  ,0.01739,0.00205
disaster     ,area          ,6.25       ,0.05742,0.00365,0.0005
architecture ,century       ,3.78       ,0.04594,0.01907,0.01166
