word1        ,word2         ,human(mean),Cos                  ,Jac    ,DKL     ,v2v cbow,v2v skip_gram
love         ,sex           ,6.77       ,0.01731              ,0.00472,0.0066  ,0.3721  ,0.52185
tiger        ,cat           ,7.35       ,0.1283               ,0.02326,0.00024 ,0.58178 ,0.7662
tiger        ,tiger         ,10.0       ,1.0                  ,1.0    ,0.0     ,1.0     ,1.0
book         ,paper         ,7.46       ,0.0924               ,0.00173,0.00803 ,0.85087 ,0.59507
computer     ,keyboard      ,7.62       ,0.06623              ,0.00158,0.01845 ,0.64314 ,0.48556
computer     ,internet      ,7.58       ,0.12636              ,0.00265,0.01693 ,0.81647 ,0.5872
plane        ,car           ,5.77       ,0.07797              ,0.00597,0.00137 ,0.75077 ,0.53072
train        ,car           ,6.31       ,0.10198              ,0.00156,0.0082  ,0.33273 ,0.3912
telephone    ,communication ,7.5        ,0.0                  ,0.00806,0.00211 ,0.74959 ,0.76982
television   ,radio         ,6.77       ,0.0                  ,0.03572,0.00029 ,0.96447 ,0.85322
bread        ,butter        ,6.19       ,0.03274              ,0.03572,0.00066 ,0.97212 ,0.92137
cucumber     ,potato        ,5.92       ,0.0                  ,0.05   ,0.00029 ,0.98191 ,0.8796
doctor       ,nurse         ,7.0        ,0.17273              ,0.0303 ,0.00304 ,0.95159 ,0.85719
professor    ,doctor        ,6.62       ,0.00894              ,0.00617,0.00592 ,0.7054  ,0.51022
student      ,professor     ,6.81       ,0.06724              ,0.0045 ,0.00459 ,0.95328 ,0.74745
smart        ,student       ,4.62       ,0.04668              ,0.00286,0.0081  ,0.80888 ,0.29352
smart        ,stupid        ,5.81       ,0.0497               ,0.00405,0.00886 ,0.92537 ,0.74016
company      ,stock         ,7.08       ,0.0677               ,0.00166,0.01869 ,0.55172 ,0.53701
stock        ,market        ,8.08       ,0.12655              ,0.00563,0.00216 ,0.93662 ,0.77718
stock        ,phone         ,1.62       ,0.00949              ,0.0035 ,0.00318 ,0.93919 ,0.54466
stock        ,egg           ,1.81       ,0.01312              ,0.00877,0.00406 ,0.95366 ,0.80476
stock        ,live          ,3.73       ,0.02056              ,0.00476,0.00354 ,0.89151 ,0.54765
stock        ,life          ,0.92       ,0.04835              ,0.00245,0.00217 ,0.67162 ,0.28496
book         ,library       ,7.46       ,0.0672               ,0.00233,0.00936 ,0.66954 ,0.38315
